id;forwardPrimer;reversePrimer;ampliconLength
1;LCO1490;HC02198;658
2;LepF1;MLepF1-Rev;218
3;LepF1;EPT-long-univR;127
4;Uni-MinibarF1;Uni-MinibarR1;127
5;ZBJ-ArtF1c;ZBJ-ArtR2c;157
6;jgLCO1490;mlCOIintR;319
7;mlCOIintF;jgHCO2198;313
8;LCO1490;Ill_C_R;325
9;Ill_B_F;HC02198;418
10;ArF5;ArR5;310
11;BF2;BR1;322
12;BF1;BR2;316
13;BF2;BR2;421
14;BF1;BR1;217
15;L499;H2123d;178
